标题,时间,内容,来源,编辑,关键词,文章链接
《灵敏度提升500多倍 我国科研团队在深海探测领域获新突破》,2024-04-13 14:29:47,记者从中国科学院合肥物质科学研究院获悉，近期，该院智能机械研究所陈池来研究员团队王晗等研究人员在深海探测领域取得新突破。由于海洋中的甲烷浓度低、变化大等特点，当前对海洋溶解甲烷的检测数据仍然很少，对海洋甲烷通量的估计还存在很大的不确定性。,央视新闻,宿党辉,深海探测 科研团队 甲烷浓度,https://news.cctv.com/2024/04/13/ARTIlI5nEUB22sRBFpTbH3bp240413.shtml
《月球通导新技术验证进展顺利 天都一号、二号通导技术试验星传回最新影像》,2024-04-13 08:46:32,记者从深空探测实验室获悉，截至12日，天都一号、二号通导技术试验星顺利开展了月地高可靠传输与路由、月球轨道导航空间基准异源标定等新技术试验，经遥测数据计算结果表明，试验项目能够有效提高航天器环月轨道定轨精度，试验设计具有重要实用价值。,新华网,及玥,通导 定轨精度 冻结轨道 深空探测 技术试验 月球轨道 姿态稳定 双星,https://news.cctv.com/2024/04/13/ARTINR9SLtRJSpDI0DAJwqmn240413.shtml
《太空影集上新，摄影师：神十七乘组！》,2024-04-12 15:40:52,当身处浩渺宇宙时，中国航天员正以镜头为画笔，绘出地球的壮丽诗篇——蓝色的海洋宛如生命的摇篮，孕育着万千生灵的传奇，翠绿的山脉如巨龙蜿蜒，是大地的锦绣华服；金黄的沙漠似金波荡漾，是岁月留下的金色印记，在星河的璀璨中，地球的轮廓若隐若现，仿佛低语着千古流传的史诗，诉说着宇宙与生命的无尽奥秘。于是，他们一次次按下快门键，将对人类共同家园的深情爱意化作一幕幕永恒的瞬间。,央视新闻,宿党辉,航天员 眷恋 太空 影集 摄影师,https://news.cctv.com/2024/04/12/ARTIqiG4K0F0F72ZE6kwuS3N240412.shtml
《有助揭开宇宙能量来源之谜 我国科学家提出研究快速射电暴新方法》,2024-04-12 12:41:40,总台央视记者从中国科学院国家天文台获悉，利用中国天眼FAST的丰富数据，中国科学院国家天文台李菂研究员带领团队提出了一种全新分析构架“Pincus-Lyaponov相图”，得以量化爆发事件的随机性和混沌性，揭示了快速射电暴的时间-能量表现与地震和太阳耀斑等存在本质区别，这种差异挑战了快速射电暴的星震起源。,央视新闻,邢斯馨,暴新方法,https://news.cctv.com/2024/04/12/ARTI0lbpEqPclVYuplJvkTXF240412.shtml
《6600万年前的泰坦龙遗骸在阿根廷南部被发现》,2024-04-12 11:45:07,当地时间4月11日，阿根廷国家科学与技术研究委员会宣布，在阿根廷南部发现一具6600万年前的泰坦龙遗骸。,央视新闻,邢斯馨,泰坦 阿根廷 进化史,https://news.cctv.com/2024/04/12/ARTIgefiSCSzLmzfZcywgZqZ240412.shtml
《我国航天育种创造直接经济效益逾千亿元 太空种子结硕果》,2024-04-12 09:24:04,1987年8月，我国第九颗返回式卫星首次搭载水稻、辣椒等种子，开启了我国农作物种子的太空之旅。据介绍，目前我国已进行航天育种搭载实验3000余项，育成主粮审定品种260多个，蔬菜、水果、林草、花卉新品种上百个，年增产粮食20多亿公斤，创造直接经济效益逾千亿元。,人民日报,宿党辉,航天育种 选育过程 太空之旅,https://news.cctv.com/2024/04/12/ARTIB2Lwuk0qGMA1CW8RsiHp240412.shtml
《国家航天局：鹊桥二号中继星任务取得圆满成功》,2024-04-12 09:15:42,国家航天局今天（4月12日）发布消息，鹊桥二号中继星已完成在轨对通测试。,央视新闻,戴萌萌,鹊桥 国家航天局 冻结轨道,https://news.cctv.com/2024/04/12/ARTINOvxMQnF14JRvWXd8GCJ240412.shtml
《国家超算互联网正式上线》,2024-04-12 09:15:24,4月11日，国家超算互联网正式上线，将有助于缓解目前算力供需矛盾，加快形成新质生产力，为数字中国建设、数字经济发展等提供坚实支撑。为进一步吸引各类服务商入驻，会上发布了“国家超算互联网平台支持赋能计划”，以带动计算技术、算力应用向更高水平发展。,新华社,宿党辉,互联网 正式上线 赋能,https://news.cctv.com/2024/04/12/ARTIw472Lt24FHaQvzCDNqav240412.shtml
《鹊桥二号中继星任务取得圆满成功》,2024-04-12 08:57:17,鹊桥二号中继星已完成在轨对通测试。经评估，中继星平台和载荷工作正常，功能和性能满足任务要求，可为探月工程四期及后续国内、外月球探测任务提供中继通信服务，任务取得圆满成功。,央视网,陈诗文,鹊桥二号,https://news.cctv.com/2024/04/12/ARTItk4CbNPRz5X3Vzn9KHEf240412.shtml
《南大洋为何拥有世界上最干净的空气》,2024-04-12 06:21:20,据世界卫生组织称，作为一项全球公共卫生危机，空气污染每年导致700万人死亡。有研究表明，空气污染会增加患心脏病、中风和肺癌风险。那么，地球上还有原始的、纯粹的空气吗？,科技日报,肖潇,南大洋 气溶胶粒子 云场 DNA测序 研究人员 阵雨 开关 对话 工业来源 云层,https://news.cctv.com/2024/04/12/ARTI7yBklUEynEemQyJwvptC240412.shtml
